countries,Religious person,Suicide,Prostitution,Enthanasia,Cheating on taxes,Divorce,Abortion,Homosexuality
Algeria,10,1.92,1.23,2.04,2.95,4.61,2.17,1.75
Argentina,10,2.42,3.30,3.99,1.92,6.13,3.17,4.92
Australia,10,3.33,4.51,6.38,2.03,6.54,5.42,5.70
Brazil,10,1.72,3.08,2.99,3.09,5.92,2.37,4.41
Belarus,10,1.93,2.72,6.24,3.09,5.29,4.24,2.30
China,1,2.17,1.46,4.12,1.83,3.63,3.06,1.58
Colombia,10,1.52,2.21,3.26,1.59,4.45,1.90,3.29
Ecuador,10,1.85,2.76,2.43,1.91,3.76,2.13,2.89
Germany,10,3.95,4.86,4.91,2.70,6.72,5.03,6.50
Ghana,10,1.72,1.78,3.06,1.31,2.60,1.90,1.57
Iraq,10,1.73,,2.50,2.88,2.54,1.83,1.73
Japan,1,2.71,2.41,6.29,1.44,6.18,4.61,4.44
Kazakhstan,10,2.08,2.60,,2.59,4.79,3.46,2.19
Netherlands,10,4.10,5.29,6.92,2.10,6.83,6.02,7.54
New-Zealand,10,2.85,4.41,6.20,2.11,6.53,5.19,5.36
Nigeria,10,1.77,1.80,2.23,2.02,2.55,1.89,1.66
Pakistan,10,1.28,1.27,1.29,1.51,2.04,1.71,1.30
Peru,10,1.91,2.38,3.23,2.09,4.39,2.17,3.24
Poland,10,2.33,2.38,3.15,2.42,4.71,3.20,3.13
Qatar,10,1.33,,,,3.36,1.84,1.33
Russia,10,2.12,2.39,5.30,3.11,5.56,4.47,2.25
Rwanda,10,1.74,1.77,1.65,2.17,2.72,1.98,1.52
South-Africa,10,2.67,2.70,3.58,2.87,4.08,3.03,3.24
Zimbabwe,10,1.67,1.66,1.42,1.99,2.59,1.68,1.46
Spain,10,2.95,4.05,5.29,1.97,6.78,5.07,6.35
Sweden,1,4.44,3.55,6.38,2.35,8.00,7.56,7.82
Thailand,1,2.11,2.34,3.68,2.21,3.37,2.20,2.97
Turkey,10,1.44,1.76,2.77,1.31,3.31,2.11,1.70
Egypt,10,1.51,1.18,1.67,1.70,4.83,2.15,1.01
United-States,10,2.73,2.81,4.89,2.00,5.83,4.41,4.62